,latitude,longitude,rank,company_name,address,city,state,employee_count,revenue,profit
88,41.88133,-87.63014,89,EXELON,10 SOUTH DEARBORN STREET,Chicago,IL,34396,31360,1134.0
89,38.86895,-77.21468,90,GENERAL DYNAMICS,2941 FAIRVIEW PARK DRIVE,Falls Church,VA,98800,31353,2955.0
90,40.25675,-76.91367,91,RITE AID,30 HUNTER LANE,Camp Hill,PA,70580,30737,165.5
91,37.56714,-122.28188,92,GILEAD SCIENCES,333 LAKESIDE DRIVE,Foster City,CA,9000,30390,13501.0
92,44.86943,-93.06283,93,CHS,5500 CENEX DRIVE,Inver Grove Height,MN,12157,30347,424.2
93,44.95067,-92.99524,94,3M,2501 HUDSON ROAD,Maplewood,MN,91584,30109,5050.0
94,40.76769,-73.98228,95,TIME WARNER,1 TIME WARNER CENTER,New York,NY,25000,29318,3926.0
95,41.04985,-73.5389,96,CHARTER COMMUNICATIONS,400 ATLANTIC STREET,Stamford,CT,91500,29003,3522.0
96,43.03961,-87.90223,97,NORTHWESTERN MUTUAL,720 EAST WISCONSIN AVENUE,Milwaukee,WI,5646,28799,818.0
97,37.48229,-122.1504,98,FACEBOOK,1601 WILLOW ROAD,Menlo Park,CA,17048,27638,10217.0
98,40.75408,-73.97349,99,TRAVELERS COS.,485 LEXINGTON AVENUE,New York,NY,30900,27625,3014.0
99,38.92432,-77.21334,100,CAPITAL ONE FINANCIAL,1680 CAPITAL ONE DRIVE,Mclean,VA,47300,27519,3751.0
100,40.75867,-73.9824,101,TWENTY-FIRST CENTURY FOX,1211 AVENUE OF THE AMERICAS,New York,NY,21500,27326,2755.0
101,29.53455,-98.573,102,USAA,9800 FREDERICKSBURG ROAD,San Antonio,TX,29943,27131,1779.1
102,25.81058,-80.35481,103,WORLD FUEL SERVICES,9800 NW 41ST STREET,Miami,FL,5000,27016,126.5
103,40.75168,-73.97843,104,PHILIP MORRIS INTERNATIONAL,120 PARK AVENUE,New York,NY,79500,26685,6967.0
104,41.47632,-90.42457,105,DEERE,1 JOHN DEERE PLACE,Moline,IL,56767,26644,1523.9
105,41.885297,-87.621006,106,KRAFT HEINZ,200 EAST RANDOLPH STREET,Chicago,IL,41000,26487,3632.0
106,27.9175,-82.70783,107,TECH DATA,5350 TECH DATA DRIVE,Clearwater,FL,9500,26235,195.1
107,33.42748,-111.97988,108,AVNET,2211 SOUTH 47TH STREET,Phoenix,AZ,17700,26219,506.5
108,42.16287,-87.87935,109,MONDELEZ INTERNATIONAL,3 PARKWAY NORTH,Deerfield,IL,90000,25923,1659.0
109,39.10325,-84.51413,110,MACY'S,7 WEST 7TH STREET,Cincinnati,OH,148300,25778,619.0
110,42.30212,-87.89156,111,ABBVIE,1 NORTH WAUKEGAN,North Chicago,IL,30000,25638,5953.0
111,41.84894,-87.94548,112,MCDONALD'S,1 MCDONALD'S PLAZA,Oak Brook,IL,375000,24622,4686.5
112,39.74627,-75.54817,113,DUPONT,1007 MARKET STREET,Wilmington,DE,46000,24594,2513.0
113,38.86758,-77.21551,114,NORTHROP GRUMMAN,2980 FAIRVIEW PARK DRIVE,Falls Church,VA,67000,24508,2200.0
114,29.78758,-95.61758,115,CONOCOPHILLIPS,600 NORTH DAIRY ASHFORD STREET,Houston,TX,13300,24360,-3615.0
115,42.40632,-71.27939,116,RAYTHEON,870 WINTER STREET,Waltham,MA,63000,24069,2211.0
116,29.6161,-98.45941,117,ANDEAVOR,19100 RIDGEWOOD PARKWAY,San Antonio,TX,6308,24005,734.0
