city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Racine,Racine,WI,Wisconsin,55101,Racine,42.7274,-87.8135
Greenville,Greenville,NC,North Carolina,37147,Pitt,35.5956,-77.3768
Stamford,Stamford,CT,Connecticut,9001,Fairfield,41.1035,-73.5583
Elizabeth,Elizabeth,NJ,New Jersey,34039,Union,40.6657,-74.1912
Johnson City,Johnson City,TN,Tennessee,47179,Washington,36.3406,-82.3803
Lynchburg,Lynchburg,VA,Virginia,51680,Lynchburg,37.4003,-79.1909
Simi Valley,Simi Valley,CA,California,6111,Ventura,34.2663,-118.749
Fort Smith,Fort Smith,AR,Arkansas,5131,Sebastian,35.3493,-94.3695
Kenosha,Kenosha,WI,Wisconsin,55059,Kenosha,42.5864,-87.8765
Norman,Norman,OK,Oklahoma,40027,Cleveland,35.2335,-97.3471
South Lyon,South Lyon,MI,Michigan,26125,Oakland,42.4614,-83.6526
Boulder,Boulder,CO,Colorado,8013,Boulder,40.0249,-105.2523
Abilene,Abilene,TX,Texas,48441,Taylor,32.4543,-99.7384
Lehigh Acres,Lehigh Acres,FL,Florida,12071,Lee,26.612,-81.6388
Pearland,Pearland,TX,Texas,48039,Brazoria,29.5585,-95.3215
Berkeley,Berkeley,CA,California,6001,Alameda,37.8723,-122.276
Richardson,Richardson,TX,Texas,48113,Dallas,32.9717,-96.7093
Redding,Redding,CA,California,6089,Shasta,40.5698,-122.365
Arvada,Arvada,CO,Colorado,8059,Jefferson,39.8321,-105.1511
East Los Angeles,East Los Angeles,CA,California,6037,Los Angeles,34.0326,-118.1691
St. George,St. George,UT,Utah,49053,Washington,37.077,-113.577
Billings,Billings,MT,Montana,30111,Yellowstone,45.7891,-108.5524
Yuba City,Yuba City,CA,California,6101,Sutter,39.1357,-121.6381
Rochester,Rochester,MN,Minnesota,27109,Olmsted,44.0151,-92.4778
Leominster,Leominster,MA,Massachusetts,25027,Worcester,42.5209,-71.7717
Kingsport,Kingsport,TN,Tennessee,47163,Sullivan,36.5224,-82.5453
Duluth,Duluth,MN,Minnesota,27137,St. Louis,46.7756,-92.1392
Rock Hill,Rock Hill,SC,South Carolina,45091,York,34.9416,-81.0244
Gilroy,Gilroy,CA,California,6085,Santa Clara,37.0047,-121.5855
Cambridge,Cambridge,MA,Massachusetts,25017,Middlesex,42.3759,-71.1185
Sugar Land,Sugar Land,TX,Texas,48157,Fort Bend,29.5935,-95.6357
Texas City,Texas City,TX,Texas,48167,Galveston,29.4128,-94.9658
Iowa City,Iowa City,IA,Iowa,19103,Johnson,41.6559,-91.5303
Saginaw,Saginaw,MI,Michigan,26145,Saginaw,43.4199,-83.9501
Chico,Chico,CA,California,6007,Butte,39.7575,-121.8152
Dover,Dover,DE,Delaware,10001,Kent,39.161,-75.5203
Clearwater,Clearwater,FL,Florida,12103,Pinellas,27.9789,-82.7622
Coeur d'Alene,Coeur d'Alene,ID,Idaho,16055,Kootenai,47.7041,-116.7935
Seaside,Seaside,CA,California,6053,Monterey,36.6224,-121.8191
Independence,Independence,MO,Missouri,29095,Jackson,39.0871,-94.3501
West Jordan,West Jordan,UT,Utah,49035,Salt Lake,40.6024,-112.0008
Brandon,Brandon,FL,Florida,12057,Hillsborough,27.9367,-82.3
Bloomington,Bloomington,IN,Indiana,18105,Monroe,39.1637,-86.5257
El Monte,El Monte,CA,California,6037,Los Angeles,34.0739,-118.0291
North Charleston,North Charleston,SC,South Carolina,45019,Charleston,32.9066,-80.0722
Carlsbad,Carlsbad,CA,California,6073,San Diego,33.1247,-117.2837
St. Cloud,St. Cloud,MN,Minnesota,27145,Stearns,45.5339,-94.1718
Temecula,Temecula,CA,California,6065,Riverside,33.4928,-117.1315
Clovis,Clovis,CA,California,6019,Fresno,36.8278,-119.6831
Meridian,Meridian,ID,Idaho,16001,Ada,43.6112,-116.3968
The Woodlands,The Woodlands,TX,Texas,48339,Montgomery,30.1738,-95.5134
Ponce,Ponce,PR,Puerto Rico,72113,Ponce,18.012,-66.6198
Westminster,Westminster,CO,Colorado,8001,Adams,39.8837,-105.0624
Costa Mesa,Costa Mesa,CA,California,6059,Orange,33.6667,-117.9135
Monroe,Monroe,LA,Louisiana,22073,Ouachita,32.5183,-92.0774
Utica,Utica,NY,New York,36065,Oneida,43.0961,-75.226
Pompano Beach,Pompano Beach,FL,Florida,12011,Broward,26.2428,-80.1312
West Palm Beach,West Palm Beach,FL,Florida,12099,Palm Beach,26.7468,-80.1316
Waterloo,Waterloo,IA,Iowa,19013,Black Hawk,42.492,-92.3522
Everett,Everett,WA,Washington,53061,Snohomish,47.9525,-122.1669
El Centro,El Centro,CA,California,6025,Imperial,32.7867,-115.5586
Santa Fe,Santa Fe,NM,New Mexico,35049,Santa Fe,35.6619,-105.9819
Downey,Downey,CA,California,6037,Los Angeles,33.9379,-118.1312
Spring Hill,Spring Hill,FL,Florida,12053,Hernando,28.4797,-82.53
Lowell,Lowell,MA,Massachusetts,25017,Middlesex,42.6389,-71.3217
Centennial,Centennial,CO,Colorado,8005,Arapahoe,39.5926,-104.8674
Elgin,Elgin,IL,Illinois,17089,Kane,42.0385,-88.3229
Richmond,Richmond,CA,California,6013,Contra Costa,37.9477,-122.339
Broken Arrow,Broken Arrow,OK,Oklahoma,40143,Tulsa,36.0365,-95.7809
Miami Gardens,Miami Gardens,FL,Florida,12086,Miami-Dade,25.9433,-80.2426
Bend,Bend,OR,Oregon,41017,Deschutes,44.0562,-121.3087
Burlington,Burlington,VT,Vermont,50007,Chittenden,44.4877,-73.2314
Jurupa Valley,Jurupa Valley,CA,California,6065,Riverside,34.001,-117.4705
Sandy Springs,Sandy Springs,GA,Georgia,13121,Fulton,33.9366,-84.3703
Gresham,Gresham,OR,Oregon,41051,Multnomah,45.5023,-122.4413
Lewisville,Lewisville,TX,Texas,48121,Denton,33.0452,-96.9823
Hillsboro,Hillsboro,OR,Oregon,41067,Washington,45.5272,-122.9361
San Buenaventura,San Buenaventura,CA,California,6111,Ventura,34.2741,-119.2314
Jacksonville,Jacksonville,NC,North Carolina,37133,Onslow,34.7288,-77.3941
Pottstown,Pottstown,PA,Pennsylvania,42091,Montgomery,40.2507,-75.6444
Inglewood,Inglewood,CA,California,6037,Los Angeles,33.9566,-118.3444
League City,League City,TX,Texas,48167,Galveston,29.4873,-95.1087
Eau Claire,Eau Claire,WI,Wisconsin,55035,Eau Claire,44.8199,-91.4949
Turlock,Turlock,CA,California,6099,Stanislaus,37.5053,-120.8588
Temple,Temple,TX,Texas,48027,Bell,31.1076,-97.3894
Sioux City,Sioux City,IA,Iowa,19193,Woodbury,42.4959,-96.3901
Salisbury,Salisbury,MD,Maryland,24045,Wicomico,38.3756,-75.5867
Davie,Davie,FL,Florida,12011,Broward,26.0789,-80.287
Daly City,Daly City,CA,California,6081,San Mateo,37.6862,-122.4685
Highlands Ranch,Highlands Ranch,CO,Colorado,8035,Douglas,39.5419,-104.9708
Allen,Allen,TX,Texas,48085,Collin,33.1088,-96.6735
West Covina,West Covina,CA,California,6037,Los Angeles,34.0555,-117.9112
Sparks,Sparks,NV,Nevada,32031,Washoe,39.5729,-119.7157
Wichita Falls,Wichita Falls,TX,Texas,48485,Wichita,33.9072,-98.5291
San Mateo,San Mateo,CA,California,6081,San Mateo,37.5521,-122.3122
Columbia,Columbia,MD,Maryland,24027,Howard,39.2004,-76.859
Norwalk,Norwalk,CA,California,6037,Los Angeles,33.9069,-118.0829
Rialto,Rialto,CA,California,6071,San Bernardino,34.1174,-117.3894
Manteca,Manteca,CA,California,6077,San Joaquin,37.7927,-121.2264
Arden-Arcade,Arden-Arcade,CA,California,6067,Sacramento,38.6034,-121.381
El Cajon,El Cajon,CA,California,6073,San Diego,32.8017,-116.9605
Burbank,Burbank,CA,California,6037,Los Angeles,34.1879,-118.3235
Longmont,Longmont,CO,Colorado,8013,Boulder,40.1686,-105.1005
Renton,Renton,WA,Washington,53033,King,47.4784,-122.1919
Vista,Vista,CA,California,6073,San Diego,33.1896,-117.2386
Logan,Logan,UT,Utah,49005,Cache,41.74,-111.8419
Prescott Valley,Prescott Valley,AZ,Arizona,4025,Yavapai,34.5983,-112.3176
Vacaville,Vacaville,CA,California,6095,Solano,38.359,-121.968
Edinburg,Edinburg,TX,Texas,48215,Hidalgo,26.3197,-98.1596
